,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2012-09-03,6158,226000,4083450,17.9,18.3,17.9,18.1,0.2,92
1,2012-09-04,6158,549000,10194450,18.2,18.85,18.2,18.65,0.55,261
2,2012-09-05,6158,254000,4685000,18.65,18.7,18.3,18.3,-0.35,103
3,2012-09-06,6158,347000,6475200,18.4,19.0,18.3,18.5,0.2,160
4,2012-09-07,6158,249000,4640600,18.6,18.9,18.55,18.55,0.05,105
5,2012-09-10,6158,144000,2653300,18.8,18.8,18.3,18.4,-0.15,89
6,2012-09-11,6158,166000,3056900,18.4,18.6,18.3,18.35,-0.05,77
7,2012-09-12,6158,185000,3401000,18.4,18.5,18.3,18.3,-0.05,96
8,2012-09-13,6158,397000,7354350,18.5,18.75,18.3,18.4,0.1,185
9,2012-09-14,6158,500000,9409950,18.5,19.0,18.45,18.75,0.35,186
10,2012-09-17,6158,245000,4613050,18.75,19.1,18.7,18.8,0.05,111
11,2012-09-18,6158,178000,3316450,18.75,18.75,18.55,18.55,-0.25,89
12,2012-09-19,6158,107000,1986850,18.55,18.6,18.5,18.6,0.05,74
13,2012-09-20,6158,254000,4667950,18.65,18.65,18.3,18.3,-0.3,130
14,2012-09-21,6158,161000,2948550,18.45,18.5,18.2,18.25,-0.05,94
15,2012-09-24,6158,139000,2537800,18.35,18.4,18.2,18.25,0.0,63
16,2012-09-25,6158,134000,2443700,18.25,18.4,18.15,18.15,-0.1,74
17,2012-09-26,6158,248000,4483850,18.3,18.3,17.9,18.0,-0.15,116
18,2012-09-27,6158,250000,4466250,18.0,18.0,17.75,17.8,-0.2,123
19,2012-09-28,6158,121000,2134050,17.9,17.9,17.5,17.7,-0.1,55
20,2012-10-01,6158,75000,1326850,17.7,17.75,17.6,17.6,-0.1,39
21,2012-10-02,6158,135000,2378100,17.65,17.75,17.55,17.7,0.1,71
22,2012-10-03,6158,90000,1582800,17.75,17.75,17.5,17.55,-0.15,49
23,2012-10-04,6158,129000,2248900,17.6,17.6,17.35,17.35,-0.2,69
24,2012-10-05,6158,198000,3430300,17.4,17.5,17.2,17.2,-0.15,86
25,2012-10-08,6158,163000,2770050,17.2,17.2,16.7,16.75,-0.45,78
26,2012-10-09,6158,157000,2648600,16.75,17.0,16.75,16.8,0.05,85
27,2012-10-11,6158,148000,2475500,16.8,16.85,16.55,16.7,-0.1,77
28,2012-10-12,6158,100000,1672350,16.7,16.8,16.7,16.7,0.0,53
